 Time,Division,Ensemble,Scenario,Percentile,tasmax,tasmin,pr
1950-01-30 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -12.00,  -14.90,    6.00      
1950-01-30 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -11.80,  -14.70,    6.40      
1950-01-30 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -11.70,  -14.60,    6.70      
1950-01-30 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -10.80,  -13.90,    7.20      
1950-01-30 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -11.84,  -14.74,    6.32      
1950-01-31 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -10.70,  -15.60,    0.80      
1950-01-31 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -9.60,  -15.00,    1.10      
1950-01-31 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -9.10,  -14.50,    1.30      
1950-01-31 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -8.50,  -14.10,    1.50      
1950-01-31 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -7.70,  -13.80,    2.20      
1950-01-31 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -9.08,  -14.58,    1.31      
1950-02-01 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,   -9.80,  -21.90,    0.00      
1950-02-01 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -8.90,  -20.90,    0.00      
1950-02-01 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -8.60,  -20.40,    0.00      
1950-02-01 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -8.20,  -19.90,    0.00      
1950-02-01 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -7.00,  -18.80,    0.00      
1950-02-01 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -8.63,  -20.43,    0.00      
1950-02-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -10.00,  -24.70,    0.00      
1950-02-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,   -9.60,  -24.10,    0.10      
1950-02-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,   -9.30,  -23.90,    0.10      
1950-02-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,   -8.90,  -23.60,    0.10      
1950-02-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,   -7.80,  -23.10,    0.10      
1950-02-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,   -9.23,  -23.92,    0.08      
